root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.604277,1.828954,0.376415,0.03968,0.049047,-0.701747,0.709627,-0.358689,0.073786,0.078649,0.302513,-0.009895,0.0,-0.300256,-0.044981,-0.229917,0.267701,-0.040933,0.0,0.165973,0.410963,-0.091426,-0.90209,-0.437723,0.129798,-0.451947,0.204044,-0.815432,0.322039
0.604255,1.828505,0.376497,0.037481,0.046674,-0.702847,0.708818,-0.348881,0.074325,0.081568,0.303171,-0.013416,0.0,-0.292415,-0.044269,-0.227417,0.268142,-0.042264,0.0,0.137838,0.397576,-0.200487,-0.778912,-0.379488,0.121326,-0.451378,0.304689,-0.746244,0.319427
0.604233,1.828065,0.376557,0.035686,0.04497,-0.704363,0.707515,-0.340602,0.075597,0.085604,0.304089,-0.017137,0.0,-0.28648,-0.042811,-0.22377,0.26817,-0.042899,0.0,0.111716,0.389671,-0.298262,-0.676846,-0.327692,0.114455,-0.449289,0.377979,-0.69674,0.322283
0.604245,1.827718,0.37657,0.0348,0.044789,-0.706389,0.705548,-0.336408,0.078215,0.090955,0.305474,-0.020611,0.0,-0.284998,-0.040215,-0.218746,0.2676,-0.041962,0.0,0.096953,0.395594,-0.37724,-0.619397,-0.29962,0.112828,-0.451866,0.421873,-0.680491,0.318026
0.604274,1.827189,0.376562,0.034278,0.04533,-0.70871,0.703207,-0.333657,0.08157,0.097061,0.308197,-0.025498,0.0,-0.284948,-0.03689,-0.212879,0.267254,-0.041332,0.0,0.090024,0.413064,-0.44452,-0.602964,-0.289369,0.116429,-0.460641,0.443569,-0.695748,0.30296
0.604313,1.826619,0.376535,0.034456,0.046497,-0.710513,0.7013,-0.333496,0.084459,0.101928,0.311196,-0.030077,0.0,-0.286566,-0.034074,-0.20829,0.267126,-0.040944,0.0,0.089959,0.435491,-0.492658,-0.624128,-0.29655,0.125601,-0.477314,0.451433,-0.738321,0.28854
0.604344,1.826085,0.37651,0.035163,0.04752,-0.710947,0.700756,-0.334929,0.085339,0.103335,0.313297,-0.033029,0.0,-0.288167,-0.033262,-0.207195,0.267751,-0.041549,0.0,0.093508,0.455154,-0.518521,-0.669899,-0.313588,0.139435,-0.502425,0.455568,-0.795721,0.292684
0.604401,1.8256,0.376518,0.036028,0.047696,-0.710011,0.701649,-0.335956,0.083602,0.101249,0.313811,-0.034164,0.0,-0.288312,-0.035305,-0.20946,0.269602,-0.043351,0.0,0.097527,0.467352,-0.526222,-0.724923,-0.331132,0.156493,-0.532207,0.458796,-0.85287,0.31988
0.604538,1.825159,0.376585,0.03659,0.046748,-0.708425,0.703285,-0.334772,0.079981,0.09757,0.312976,-0.034334,0.0,-0.286455,-0.039822,-0.213099,0.272842,-0.045955,0.0,0.099348,0.471471,-0.522445,-0.777451,-0.344761,0.173936,-0.558642,0.457868,-0.89661,0.35366
0.604776,1.82474,0.376697,0.036534,0.044986,-0.706735,0.7051,-0.331175,0.075826,0.093619,0.311609,-0.034449,0.0,-0.282618,-0.045481,-0.216811,0.276848,-0.049415,0.0,0.097229,0.47001,-0.511151,-0.822861,-0.355083,0.187188,-0.575834,0.451079,-0.921871,0.372926
0.605037,1.824345,0.376806,0.035985,0.043084,-0.704926,0.707056,-0.326744,0.072033,0.089136,0.310239,-0.034604,0.0,-0.277571,-0.050714,-0.220993,0.280704,-0.053453,0.0,0.090824,0.467029,-0.493999,-0.862386,-0.362865,0.193128,-0.585223,0.440204,-0.933996,0.369311
0.605174,1.824038,0.376849,0.035401,0.041537,-0.702806,0.709285,-0.323442,0.06868,0.083597,0.308916,-0.034347,0.0,-0.272896,-0.054559,-0.226443,0.284474,-0.05734,0.0,0.081028,0.465356,-0.472208,-0.897948,-0.367287,0.193017,-0.593251,0.42787,-0.943335,0.351617
0.605138,1.823822,0.376804,0.035147,0.040428,-0.700419,0.711719,-0.321983,0.065434,0.077259,0.307694,-0.033673,0.0,-0.270078,-0.057263,-0.232757,0.289355,-0.061042,0.0,0.069535,0.464627,-0.447428,-0.92882,-0.367315,0.190462,-0.604111,0.414891,-0.95682,0.335689
0.605019,1.823708,0.376687,0.035226,0.039577,-0.69808,0.714057,-0.321868,0.062155,0.071059,0.306704,-0.032859,0.0,-0.270055,-0.059778,-0.23928,0.297178,-0.064928,0.0,0.057937,0.462777,-0.421962,-0.952587,-0.363154,0.187974,-0.616987,0.400884,-0.9756,0.330669
0.604798,1.823559,0.376496,0.035515,0.038774,-0.696105,0.716012,-0.322062,0.05892,0.06583,0.306399,-0.032818,0.0,-0.273437,-0.062269,-0.243749,0.310212,-0.069999,0.0,0.047393,0.459111,-0.399521,-0.968518,-0.356005,0.186043,-0.628593,0.385818,-0.997198,0.333407
0.604564,1.8234,0.376226,0.03586,0.037972,-0.694821,0.717284,-0.32231,0.056053,0.062467,0.307428,-0.034115,0.0,-0.281081,-0.065115,-0.245835,0.330349,-0.076556,0.0,0.03895,0.456058,-0.383088,-0.979854,-0.349525,0.183983,-0.636529,0.370895,-1.018821,0.336176
0.604479,1.823344,0.375876,0.036191,0.037427,-0.694489,0.717618,-0.32329,0.054001,0.061653,0.310317,-0.03693,0.0,-0.294388,-0.068707,-0.24628,0.359434,-0.083593,0.0,0.034317,0.457947,-0.373281,-0.991218,-0.349079,0.180805,-0.64074,0.357784,-1.039584,0.335972
0.604916,1.823246,0.37556,0.036493,0.037821,-0.694965,0.71712,-0.325816,0.053333,0.062778,0.315237,-0.041596,0.0,-0.313963,-0.074551,-0.245844,0.399412,-0.088772,0.0,0.035075,0.466369,-0.367627,-1.003937,-0.351691,0.175903,-0.641851,0.346748,-1.060104,0.334813
0.606443,1.823132,0.375602,0.036393,0.040319,-0.695848,0.716132,-0.330838,0.05549,0.064213,0.320286,-0.046443,0.0,-0.338301,-0.084018,-0.246592,0.446636,-0.081727,0.0,0.040656,0.478321,-0.363816,-1.009754,-0.339402,0.166189,-0.636483,0.338464,-1.078007,0.335371
0.608271,1.822621,0.375566,0.036405,0.044095,-0.696705,0.715075,-0.339184,0.059052,0.064969,0.330073,-0.054784,0.0,-0.370314,-0.095422,-0.246412,0.508162,-0.072335,0.0,0.052083,0.489346,-0.360479,-1.004855,-0.289983,0.155465,-0.627359,0.329311,-1.093972,0.337191
0.610472,1.822141,0.375631,0.036115,0.048998,-0.697684,0.713815,-0.35058,0.064545,0.065376,0.343282,-0.064714,0.0,-0.411048,-0.108668,-0.246925,0.585921,-0.049757,0.0,0.06483,0.500016,-0.359554,-0.990821,-0.210064,0.144733,-0.613658,0.319783,-1.107064,0.33985
0.613917,1.821214,0.376177,0.035182,0.055392,-0.69902,0.712085,-0.36135,0.07235,0.066134,0.356254,-0.076242,0.0,-0.458198,-0.127576,-0.24722,0.677843,-0.010453,0.0,0.074861,0.513239,-0.361361,-0.978266,-0.137122,0.133358,-0.594346,0.311045,-1.11632,0.344057
0.617616,1.820914,0.376971,0.034151,0.062199,-0.700914,0.709707,-0.371381,0.081218,0.068421,0.363729,-0.083279,0.0,-0.505762,-0.146471,-0.255347,0.76216,0.033481,0.0,0.079816,0.521434,-0.363641,-0.971952,-0.103473,0.121384,-0.572218,0.303632,-1.120162,0.348794
0.623096,1.820343,0.377867,0.033787,0.069664,-0.703548,0.706418,-0.379902,0.089276,0.073432,0.368071,-0.090322,0.0,-0.55339,-0.177442,-0.276354,0.843753,0.063363,0.0,0.082965,0.524759,-0.366649,-0.971196,-0.085959,0.108598,-0.548567,0.297809,-1.118864,0.352748
0.629395,1.815745,0.378316,0.035537,0.076696,-0.705118,0.704034,-0.379037,0.091739,0.077887,0.373354,-0.10984,0.0,-0.598155,-0.212139,-0.278431,0.912439,0.055836,0.0,0.085618,0.524205,-0.375967,-0.977694,-0.069283,0.096055,-0.528572,0.292142,-1.108216,0.352529
0.629293,1.81471,0.376828,0.04017,0.077104,-0.706453,0.702399,-0.385316,0.086526,0.083567,0.380857,-0.117723,0.0,-0.648856,-0.207367,-0.286064,0.932845,0.055435,0.0,0.081698,0.512229,-0.394783,-0.984527,-0.068734,0.097688,-0.527098,0.286402,-1.093478,0.350252
0.626694,1.812685,0.374007,0.048277,0.074135,-0.706712,0.701948,-0.392113,0.072993,0.088812,0.394707,-0.13126,0.0,-0.702824,-0.185498,-0.279966,0.925051,0.055208,0.0,0.068157,0.496357,-0.416016,-0.998724,-0.094106,0.111462,-0.540714,0.277359,-1.080179,0.346173
0.624299,1.808839,0.370749,0.058554,0.070772,-0.706054,0.702176,-0.395642,0.054698,0.093422,0.407602,-0.149645,0.0,-0.749104,-0.1646,-0.27123,0.882069,0.059996,0.0,0.048489,0.476183,-0.428225,-1.022238,-0.133096,0.13159,-0.558483,0.263774,-1.071351,0.339866
0.622215,1.803808,0.36762,0.069794,0.068308,-0.705038,0.702414,-0.395207,0.035379,0.097723,0.414564,-0.168779,0.0,-0.787411,-0.146761,-0.263742,0.812867,0.065936,0.0,0.028696,0.453843,-0.430149,-1.056229,-0.162307,0.154417,-0.573962,0.24478,-1.070643,0.327577
0.620178,1.797507,0.364536,0.081208,0.066681,-0.70354,0.702844,-0.389439,0.016078,0.100593,0.4156,-0.188819,0.0,-0.819019,-0.128298,-0.254633,0.723934,0.076554,0.0,0.010665,0.4333,-0.428965,-1.099616,-0.18373,0.179018,-0.585894,0.221547,-1.079067,0.313365
0.616628,1.791022,0.360794,0.092419,0.064106,-0.701352,0.703886,-0.38106,-0.003632,0.101102,0.415441,-0.208894,0.0,-0.846584,-0.102408,-0.247477,0.626082,0.093463,0.0,-0.007768,0.413829,-0.431201,-1.145782,-0.210749,0.207056,-0.597129,0.196158,-1.092146,0.301217
0.613122,1.782246,0.357814,0.102418,0.062703,-0.698146,0.705813,-0.362357,-0.021572,0.097037,0.408068,-0.232773,0.0,-0.864323,-0.073732,-0.227807,0.520247,0.099779,0.0,-0.02982,0.395436,-0.436913,-1.187954,-0.248232,0.238288,-0.607343,0.168224,-1.106527,0.279633
0.611054,1.772579,0.355784,0.108978,0.062592,-0.694524,0.708408,-0.336967,-0.034359,0.088975,0.398456,-0.257873,0.0,-0.877119,-0.052005,-0.205194,0.431311,0.106689,0.0,-0.051568,0.382851,-0.447042,-1.21727,-0.281617,0.26225,-0.60719,0.14908,-1.105754,0.244313
0.60964,1.762602,0.354482,0.114067,0.063257,-0.691419,0.710582,-0.307023,-0.044102,0.080651,0.38539,-0.282198,0.0,-0.882974,-0.033642,-0.179998,0.353497,0.112937,0.0,-0.073697,0.372764,-0.455646,-1.236328,-0.315259,0.279147,-0.606105,0.13745,-1.094229,0.196438
0.608392,1.756038,0.352488,0.116138,0.062765,-0.688382,0.713234,-0.291134,-0.04948,0.072392,0.386984,-0.298885,0.0,-0.900221,-0.020434,-0.166146,0.310633,0.115529,0.0,-0.085109,0.370376,-0.463561,-1.24537,-0.334425,0.2906,-0.593271,0.135302,-1.079212,0.177571
0.60734,1.748897,0.350559,0.120381,0.062762,-0.687063,0.713803,-0.272226,-0.056819,0.06869,0.387216,-0.319528,0.0,-0.910796,-0.009043,-0.163216,0.27402,0.112281,0.0,-0.100196,0.367177,-0.465773,-1.253887,-0.35566,0.295185,-0.590673,0.136525,-1.06258,0.162041
0.607208,1.739982,0.349451,0.127385,0.063493,-0.688117,0.711503,-0.239312,-0.068252,0.070635,0.370307,-0.342458,0.0,-0.911024,-0.00368,-0.152128,0.242227,0.107157,0.0,-0.125516,0.353484,-0.455331,-1.255203,-0.388505,0.28468,-0.613371,0.151311,-1.043009,0.139919
0.60861,1.733915,0.348807,0.130593,0.065374,-0.688183,0.710687,-0.219343,-0.073527,0.070936,0.361763,-0.352876,0.0,-0.913836,-0.009365,-0.143515,0.235811,0.100921,0.0,-0.138527,0.351722,-0.452378,-1.251858,-0.401728,0.276044,-0.622282,0.164474,-1.038945,0.146588
0.610436,1.727364,0.348547,0.13315,0.068495,-0.688633,0.709482,-0.199412,-0.076995,0.072228,0.35649,-0.359908,0.0,-0.914673,-0.016035,-0.128308,0.251443,0.097156,0.0,-0.146669,0.358731,-0.453486,-1.247135,-0.409807,0.264403,-0.628917,0.172748,-1.042129,0.165587
0.613087,1.72083,0.349157,0.134628,0.072814,-0.689738,0.707697,-0.180553,-0.078106,0.074804,0.353659,-0.361074,0.0,-0.912386,-0.024336,-0.106542,0.283892,0.103751,0.0,-0.148949,0.375253,-0.459752,-1.2401,-0.420834,0.251999,-0.629933,0.174809,-1.048621,0.185093
0.617875,1.714138,0.350816,0.134695,0.078068,-0.691454,0.705446,-0.161572,-0.077297,0.078455,0.354988,-0.352184,0.0,-0.909716,-0.042494,-0.083264,0.316803,0.134259,0.0,-0.144253,0.401431,-0.470068,-1.23042,-0.440274,0.24005,-0.624755,0.172677,-1.052688,0.198001
0.622548,1.708289,0.352166,0.134274,0.082796,-0.693141,0.703329,-0.149492,-0.082059,0.081128,0.368967,-0.326257,0.0,-0.904439,-0.055121,-0.069076,0.342163,0.184683,0.0,-0.133317,0.430782,-0.48377,-1.214324,-0.464347,0.229774,-0.616731,0.170136,-1.049389,0.203908
0.625628,1.702658,0.353497,0.134799,0.085779,-0.694957,0.701075,-0.143319,-0.086224,0.084467,0.397362,-0.284385,0.0,-0.898484,-0.064492,-0.060385,0.364322,0.198861,0.0,-0.111728,0.458771,-0.496182,-1.185471,-0.487657,0.218413,-0.612856,0.173125,-1.03296,0.210132
0.628685,1.697252,0.35449,0.133747,0.089108,-0.696007,0.699818,-0.143998,-0.094874,0.086573,0.442093,-0.222376,0.0,-0.892012,-0.065386,-0.059226,0.385635,0.17993,0.0,-0.081696,0.480461,-0.506608,-1.140143,-0.49714,0.204352,-0.603465,0.185249,-1.006337,0.216746
0.632308,1.692185,0.355665,0.130351,0.091875,-0.695991,0.700117,-0.154617,-0.104728,0.096271,0.515142,-0.136585,0.0,-0.880027,-0.064516,-0.061755,0.407003,0.154645,0.0,-0.042968,0.499749,-0.515267,-1.082152,-0.483167,0.180585,-0.585967,0.209609,-0.964541,0.226971
0.634724,1.687344,0.35801,0.127504,0.092727,-0.694717,0.701792,-0.185744,-0.106668,0.11756,0.62689,-0.0393,0.0,-0.858858,-0.066441,-0.065723,0.416755,0.131151,0.0,-0.00434,0.516859,-0.52438,-1.028963,-0.453304,0.153932,-0.568723,0.236154,-0.922265,0.240675
0.63631,1.684128,0.361407,0.125379,0.090927,-0.691784,0.7053,-0.244075,-0.100713,0.15842,0.783399,0.058786,0.0,-0.832426,-0.073635,-0.071248,0.415939,0.115024,0.0,0.030933,0.537261,-0.536534,-0.995039,-0.426837,0.129865,-0.556549,0.258357,-0.889876,0.256085
0.63587,1.682314,0.365581,0.12483,0.087211,-0.687324,0.71021,-0.331501,-0.073989,0.21519,0.967444,0.161287,0.0,-0.803663,-0.085523,-0.078215,0.405799,0.105053,0.0,0.062243,0.561188,-0.547615,-0.98943,-0.420052,0.111594,-0.55279,0.26999,-0.876345,0.269875
0.634328,1.679106,0.368694,0.124563,0.086334,-0.683259,0.714274,-0.434624,-0.034048,0.249832,1.139967,0.216393,0.0,-0.775926,-0.092819,-0.087283,0.394177,0.095193,0.0,0.092546,0.590084,-0.5432,-1.010076,-0.432622,0.097345,-0.553384,0.270668,-0.886277,0.278476
0.631695,1.667486,0.369682,0.121651,0.093325,-0.682002,0.715098,-0.545584,0.000881,0.206828,1.276552,0.193007,0.0,-0.736933,-0.079173,-0.09981,0.390441,0.058847,0.0,0.134544,0.630558,-0.499055,-1.054288,-0.452057,0.082455,-0.546999,0.265936,-0.917282,0.281648
0.633416,1.657741,0.367795,0.111685,0.102839,-0.680531,0.716818,-0.654745,0.00994,0.172694,1.359521,0.132817,0.0,-0.703017,-0.058378,-0.118894,0.400105,0.021299,0.0,0.195404,0.677376,-0.418782,-1.10838,-0.462415,0.0631,-0.523037,0.260391,-0.941196,0.282828
0.6351,1.647298,0.366114,0.102219,0.107873,-0.67908,0.718863,-0.743274,0.006712,0.146909,1.380494,0.118516,0.0,-0.663552,-0.04306,-0.133384,0.415466,-0.021389,0.0,0.237275,0.692502,-0.340442,-1.134922,-0.455192,0.044785,-0.500095,0.253199,-0.953657,0.286962
0.634276,1.629768,0.365506,0.095443,0.11114,-0.678585,0.719765,-0.800968,-0.002913,0.088771,1.338669,0.094632,0.0,-0.604882,-0.026438,-0.141536,0.434645,-0.087913,0.0,0.263055,0.686699,-0.265318,-1.141662,-0.434467,0.02801,-0.4788,0.245404,-0.967412,0.294625
0.634019,1.613072,0.364406,0.090146,0.111271,-0.678021,0.720958,-0.843587,-0.01812,0.052888,1.239752,0.045185,0.0,-0.544013,-0.015541,-0.146768,0.450293,-0.149404,0.0,0.264552,0.662617,-0.214042,-1.12318,-0.411411,0.022064,-0.468408,0.239202,-0.990832,0.299063
0.633581,1.597439,0.363041,0.085959,0.110895,-0.676154,0.723276,-0.875551,-0.027589,0.03393,1.106556,0.015257,0.0,-0.482576,-0.006777,-0.154837,0.46018,-0.202681,0.0,0.254554,0.636931,-0.176383,-1.094466,-0.395404,0.023917,-0.465846,0.235247,-1.025415,0.303039
0.630036,1.580615,0.362299,0.085207,0.109856,-0.672778,0.726664,-0.89532,-0.023782,0.007053,0.940511,0.004549,0.0,-0.413294,0.001229,-0.165252,0.455786,-0.252489,0.0,0.236752,0.610319,-0.149983,-1.062452,-0.388826,0.032867,-0.47489,0.230123,-1.069724,0.312011
0.628456,1.566342,0.35966,0.081768,0.111446,-0.668596,0.730666,-0.915585,-0.023095,0.003266,0.770296,0.014373,0.0,-0.349046,0.016662,-0.179201,0.445727,-0.291564,0.0,0.224625,0.598395,-0.128312,-1.034174,-0.386566,0.04217,-0.481552,0.2274,-1.112381,0.325311
0.625602,1.552108,0.357075,0.078455,0.113429,-0.664051,0.734857,-0.926538,-0.015716,0.001005,0.593725,0.038193,0.0,-0.279543,0.037106,-0.192252,0.422526,-0.322968,0.0,0.218936,0.596616,-0.116683,-1.01465,-0.385751,0.051385,-0.488396,0.224469,-1.149446,0.341763
